Number,Arrival time,X1,X2,X3
001,08:31,6,0,6
002,08:31,0,1,1
003,08:32,7,1,8
004,08:33,1,2,3
005,08:35,2,3,5
006,08:37,2,2,4
007,08:41,4,1,5
008,08:42,3,2,5
009,08:47,3,0,3
010,08:47,2,1,3
011,08:48,2,1,3
012,08:49,2,1,3
013,08:50,5,2,7
014,08:51,1,2,3
015,08:53,0,2,2
016,08:56,3,2,5
017,08:58,27,2,29
018,08:58,0,3,3
019,09:00,1,1,2
020,09:00,10,2,12
021,09:01,4,3,7
022,09:03,6,0,6
023,09:06,4,0,4
024,09:07,5,1,6
025,09:13,0,0,0
026,09:13,3,0,3
027,09:14,5,1,6
028,09:17,4,0,4
029,09:18,2,1,3
030,09:18,2,1,3
031,09:21,2,2,4
032,09:25,2,0,2
033,09:25,10,0,10
034,09:26,3,1,4
035,09:27,6,1,7
036,09:30,4,0,4
037,09:30,6,0,6
038,09:31,3,0,3
039,09:31,5,1,6
040,09:31,2,2,4
041,09:33,0,3,3
042,09:34,11,4,15
043,09:35,2,4,6
044,09:35,1,5,6
045,09:41,3,1,4
046,09:45,6,0,6
047,09:47,2,0,2
048,09:48,0,1,1
049,09:49,6,2,8
050,09:49,6,2,8
051,09:51,2,2,4
052,09:52,6,1,7
053,09:54,2,1,3
054,09:55,4,2,6
055,09:56,5,3,8
056,09:56,3,3,6
057,09:57,1,4,5
058,10:02,5,2,7
059,10:02,5,2,7
060,10:04,2,2,4
061,10:08,3,0,3
062,10:09,29,1,30
063,10:09,1,2,3
064,10:10,4,3,7
065,10:11,8,0,8
066,10:11,3,0,3
067,10:13,14,1,15
068,10:13,7,2,9
069,10:20,3,0,3
070,10:23,27,0,27
071,10:23,6,1,7
072,10:24,0,2,2
073,10:25,2,2,4
074,10:26,3,2,5
075,10:26,4,3,7
076,10:26,1,4,5
077,10:29,8,5,13
078,10:29,0,6,6
079,10:30,4,4,8
080,10:35,42,2,44
081,10:36,8,2,10
082,10:36,4,2,6
083,10:39,1,2,3
084,10:41,2,2,4
085,10:42,3,1,4
086,10:43,6,2,8
087,10:43,9,3,12
088,10:43,0,3,3
089,10:46,0,2,2
090,10:47,2,3,5
091,10:47,1,4,5
092,10:49,5,2,7
093,10:51,2,2,4
094,10:51,10,3,13
095,10:53,6,1,7
096,10:53,0,1,1
097,10:55,10,1,11
098,10:55,8,2,10
099,10:55,5,3,8
100,10:55,9,4,13
101,10:57,11,4,15
102,10:57,3,3,6
103,10:58,2,4,6
104,11:00,3,5,8
105,11:03,9,5,14
106,11:05,4,5,9
107,11:05,0,6,6
108,11:06,4,6,10
109,11:06,8,7,15
110,11:07,7,7,14
111,11:08,3,7,10
112,11:10,1,6,7
113,11:12,2,7,9
114,11:13,5,8,13
115,11:14,3,8,11
116,11:15,0,7,7
117,11:16,2,8,10
118,11:17,7,9,16
119,11:17,5,10,15
120,11:18,12,10,22
121,11:21,0,6,6
122,11:23,2,5,7
123,11:24,1,5,6
124,11:25,0,6,6
125,11:28,3,2,5
126,11:28,3,3,6
127,11:29,26,4,30
128,11:29,0,4,4
129,11:30,1,5,6
130,11:30,10,6,16
131,11:32,4,3,7
132,11:33,30,3,33
133,11:34,9,3,12
134,11:36,10,1,11
135,11:41,0,0,0
136,11:42,2,1,3
137,11:43,3,2,5
138,11:44,1,3,4
139,11:44,2,4,6
140,11:45,2,5,7
141,11:47,7,6,13
142,11:48,2,7,9
143,11:49,19,8,27
144,11:51,3,6,9
145,11:51,18,7,25
146,11:54,2,3,5
147,11:55,0,4,4
148,11:55,2,5,7
149,11:56,3,5,8
150,11:57,0,6,6
151,12:01,6,4,10
152,12:03,3,4,7
153,12:07,43,0,43
154,12:09,9,0,9
155,12:11,36,0,36
156,12:15,4,0,4
157,12:18,32,0,32
158,12:18,10,1,11
160,12:29,17,0,17
161,15:46,0,0,0
162,15:46,5,1,6
163,15:46,5,2,7
164,15:46,15,3,18
165,15:46,9,4,13
166,15:47,0,5,5
167,15:49,2,4,6
168,15:51,2,2,4
169,15:51,3,3,6
170,15:52,8,4,12
171,15:54,18,4,22
172,15:57,8,4,12
173,16:04,3,0,3
174,16:06,0,1,1
175,16:06,6,1,7
176,16:07,8,2,10
177,16:11,5,0,5
178,16:17,10,0,10
179,16:17,7,1,8
180,16:18,3,0,3
181,16:20,3,0,3
182,16:20,4,1,5
183,16:20,10,2,12
184,16:23,7,1,8
185,16:27,8,0,8
186,16:27,5,0,5
187,16:27,1,1,2
188,16:31,1,1,2
189,16:33,24,0,24
190,16:34,20,1,21
191,16:35,4,2,6
192,16:40,4,0,4
193,16:43,16,0,16
194,16:44,6,1,7
195,16:46,0,1,1
196,16:49,4,1,5
197,16:52,3,2,5
198,16:56,1,0,1
199,16:56,3,1,4
200,16:58,3,2,5
