Number,Arrival time,X1,X2,X3
001,08:31,0,0,0
002,08:31,5,1,6
003,08:35,2,0,2
004,08:35,9,0,9
005,08:36,8,1,9
006,08:40,13,0,13
007,08:45,0,0,0
008,08:45,1,1,2
009,08:46,2,0,2
010,08:46,1,1,2
011,08:49,8,0,8
012,08:52,4,0,4
013,08:53,2,0,2
014,08:55,42,0,42
015,08:59,3,0,3
016,09:01,0,0,0
017,09:02,3,0,3
018,09:02,2,0,2
019,09:04,6,0,6
020,09:04,6,1,7
021,09:08,2,0,2
022,09:09,2,0,2
023,09:10,5,0,5
024,09:10,2,1,3
025,09:10,2,2,4
026,09:11,2,2,4
027,09:12,2,3,5
028,09:12,8,2,10
029,09:13,8,3,11
030,09:16,1,1,2
031,09:16,0,2,2
032,09:18,26,2,28
033,09:21,4,0,4
034,09:24,11,1,12
035,09:29,10,0,10
036,09:31,14,0,14
037,09:35,9,0,9
038,09:36,1,1,2
039,09:37,4,1,5
040,09:37,1,2,3
041,09:40,3,0,3
042,09:43,11,0,11
043,09:44,1,0,1
044,09:45,5,0,5
045,09:46,4,1,5
046,09:49,13,0,13
047,09:50,1,1,2
048,09:50,0,2,2
049,09:50,4,3,7
050,09:52,1,2,3
051,09:53,3,1,4
052,09:53,6,2,8
053,09:54,0,1,1
054,09:55,16,1,17
055,09:55,6,2,8
056,09:56,4,0,4
057,09:56,3,1,4
058,09:58,2,1,3
059,09:58,3,2,5
060,09:59,6,3,9
061,10:01,5,4,9
062,10:01,1,4,5
063,10:03,2,3,5
064,10:04,12,4,16
065,10:05,1,2,3
066,10:06,0,3,3
067,10:06,4,4,8
068,10:07,46,4,50
069,10:09,36,4,40
070,10:10,4,2,6
071,10:12,6,1,7
072,10:16,2,0,2
073,10:19,1,0,1
074,10:19,7,1,8
075,10:20,14,1,15
076,10:21,0,2,2
077,10:22,1,1,2
078,10:22,2,0,2
079,10:24,5,1,6
080,10:25,7,2,9
081,10:28,2,2,4
082,10:28,0,3,3
083,10:29,0,3,3
084,10:29,6,4,10
085,10:33,6,5,11
086,10:34,0,6,6
087,10:35,0,7,7
088,10:35,2,8,10
089,10:35,15,9,24
090,10:39,2,8,10
091,10:43,2,6,8
092,10:45,1,6,7
093,10:45,4,7,11
094,10:47,1,5,6
095,10:48,1,6,7
096,10:49,3,6,9
097,10:49,2,7,9
098,10:49,1,8,9
099,10:52,0,6,6
100,10:53,2,6,8
101,10:55,0,7,7
102,10:56,11,8,19
103,10:56,2,9,11
104,10:58,2,8,10
105,11:02,2,5,7
106,11:02,8,4,12
107,11:04,10,3,13
108,11:05,0,3,3
109,11:08,3,2,5
110,11:08,0,2,2
111,11:09,11,3,14
112,11:09,0,4,4
113,11:12,2,5,7
114,11:13,2,6,8
115,11:13,9,7,16
116,11:17,4,6,10
117,11:17,8,7,15
118,11:18,2,8,10
119,11:19,9,6,15
120,11:20,8,6,14
121,11:21,1,7,8
122,11:21,2,8,10
123,11:22,1,8,9
124,11:22,19,9,28
125,11:24,3,9,12
126,11:25,0,8,8
127,11:28,1,9,10
128,11:31,1,8,9
129,11:33,4,8,12
130,11:41,8,0,8
131,11:42,9,0,9
132,11:43,2,0,2
133,11:47,6,0,6
134,11:47,5,1,6
135,11:49,18,2,20
136,11:51,8,0,8
137,11:52,3,1,4
138,11:52,6,1,7
139,11:53,1,2,3
140,11:56,0,1,1
141,11:57,4,2,6
142,12:03,5,0,5
143,12:06,0,0,0
144,12:06,0,1,1
145,12:09,3,2,5
146,12:09,5,3,8
147,12:11,0,0,0
148,12:12,3,1,4
150,12:15,5,3,8
151,12:16,0,4,4
152,12:16,2,5,7
153,12:17,0,6,6
154,12:25,2,2,4
155,12:26,4,2,6
157,12:28,8,2,10
159,12:41,0,0,0
