Number,Arrival time,X1,X2,X3
001,08:31,10,0,10
002,08:31,1,1,2
003,08:31,1,1,2
004,08:31,1,2,3
005,08:31,2,3,5
006,08:31,3,3,6
007,08:33,2,4,6
008,08:33,0,4,4
009,08:34,0,5,5
010,08:42,1,2,3
011,08:44,14,2,16
012,08:45,1,2,3
013,08:45,1,2,3
014,08:53,17,1,18
015,08:56,20,1,21
016,08:57,5,1,6
017,09:01,1,1,2
018,09:03,8,0,8
019,09:07,2,0,2
020,09:09,4,0,4
021,09:10,17,0,17
022,09:11,6,0,6
023,09:14,5,0,5
024,09:14,5,1,6
025,09:18,7,0,7
026,09:19,16,1,17
027,09:19,5,2,7
028,09:22,5,0,5
029,09:26,6,0,6
030,09:26,4,1,5
031,09:27,11,1,12
032,09:29,4,1,5
033,09:30,10,1,11
034,09:31,23,2,25
035,09:33,4,2,6
036,09:33,3,3,6
037,09:34,14,2,16
038,09:34,5,3,8
039,09:36,4,2,6
040,09:37,10,3,13
041,09:45,3,1,4
042,09:50,5,0,5
043,09:51,4,0,4
044,09:52,8,1,9
045,09:53,16,2,18
046,09:53,30,3,33
047,09:58,10,0,10
048,10:00,8,0,8
049,10:01,7,1,8
050,10:02,8,2,10
051,10:04,5,3,8
052,10:04,0,4,4
053,10:04,6,4,10
054,10:05,0,5,5
055,10:06,2,6,8
056,10:11,14,6,20
057,10:13,4,7,11
058,10:13,6,7,13
059,10:15,0,7,7
060,10:16,3,7,10
061,10:21,3,5,8
062,10:22,7,4,11
063,10:23,6,4,10
064,10:23,1,5,6
065,10:23,1,6,7
066,10:26,6,7,13
067,10:27,8,8,16
068,10:28,1,7,8
069,10:31,3,8,11
070,10:34,5,7,12
071,10:36,3,6,9
072,10:37,2,7,9
073,10:42,6,2,8
074,10:42,12,3,15
075,10:43,2,4,6
076,10:44,3,5,8
077,10:44,0,6,6
078,10:45,3,6,9
079,10:48,0,4,4
080,10:48,19,4,23
081,10:49,10,4,14
082,10:51,18,2,20
083,10:52,5,2,7
084,10:53,6,1,7
