Number,Arrival time,X1,X2,X3
001,08:31,6,0,6
002,08:31,0,1,1
003,08:31,1,2,3
004,08:31,7,2,9
005,08:32,0,3,3
006,08:34,6,4,10
007,08:40,7,0,7
008,08:43,9,0,9
009,08:45,8,0,8
010,08:48,0,0,0
011,08:48,25,0,25
012,08:51,3,0,3
013,08:55,4,0,4
014,08:57,0,1,1
015,08:58,14,1,15
016,08:58,3,2,5
017,08:59,5,3,8
018,09:02,19,2,21
019,09:03,1,2,3
020,09:04,7,3,10
021,09:06,8,3,11
022,09:08,2,3,5
023,09:10,9,4,13
024,09:15,4,1,5
025,09:15,11,2,13
026,09:16,11,3,14
027,09:16,3,3,6
028,09:17,6,3,9
029,09:17,5,4,9
030,09:19,2,5,7
031,09:20,9,6,15
032,09:22,10,5,15
033,09:23,5,5,10
034,09:24,2,6,8
035,09:24,18,7,25
036,09:25,2,8,10
037,09:27,5,6,11
038,09:30,7,6,13
039,09:31,4,5,9
040,09:32,2,6,8
041,09:35,0,4,4
042,09:37,3,5,8
043,09:37,10,6,16
044,09:38,1,6,7
045,09:39,6,7,13
046,09:40,0,8,8
047,09:41,6,9,15
048,09:43,8,10,18
049,09:44,0,10,10
050,09:46,0,10,10
051,09:47,2,11,13
052,09:49,6,11,17
053,09:50,4,11,15
054,09:51,1,10,11
055,09:51,2,11,13
056,09:53,1,9,10
057,09:53,19,10,29
058,09:57,1,9,10
059,09:58,26,7,33
060,09:58,5,7,12
061,10:00,9,7,16
062,10:04,2,3,5
063,10:04,10,4,14
064,10:07,3,1,4
065,10:09,4,1,5
066,10:09,22,2,24
067,10:16,1,0,1
068,10:17,1,1,2
069,10:19,8,1,9
070,10:21,7,0,7
071,10:21,1,1,2
072,10:22,5,1,6
073,10:24,10,1,11
074,10:26,18,1,19
075,10:27,6,2,8
076,10:29,2,2,4
077,10:29,2,2,4
078,10:30,0,2,2
079,10:33,1,2,3
080,10:33,5,3,8
081,10:33,0,4,4
082,10:36,8,4,12
083,10:36,1,5,6
084,10:37,3,6,9
085,10:38,9,5,14
086,10:39,4,6,10
087,10:42,8,3,11
088,10:42,0,4,4
089,10:44,2,3,5
090,10:45,4,4,8
091,10:45,4,5,9
092,10:45,14,6,20
093,10:46,0,7,7
094,10:46,22,8,30
095,10:48,5,5,10
096,10:51,5,4,9
097,10:51,0,5,5
098,10:52,1,6,7
099,10:54,1,6,7
100,10:54,0,7,7
101,10:54,1,8,9
102,10:55,4,9,13
103,10:57,18,6,24
104,10:59,2,7,9
105,11:01,20,8,28
106,11:06,16,3,19
107,11:07,5,3,8
108,11:09,4,4,8
109,11:09,1,5,6
110,11:10,3,6,9
111,11:11,4,6,10
112,11:11,6,7,13
113,11:17,0,6,6
114,11:18,12,7,19
115,11:18,30,8,38
116,11:21,3,7,10
117,11:21,1,8,9
118,11:22,3,9,12
119,11:25,2,6,8
120,11:25,8,7,15
121,11:25,0,8,8
122,11:26,0,9,9
123,11:28,5,8,13
124,11:29,0,9,9
125,11:29,8,9,17
126,11:30,3,10,13
127,11:30,9,11,20
128,11:30,0,11,11
129,11:31,1,12,13
130,11:32,5,12,17
131,11:32,59,13,72
132,11:37,0,11,11
133,11:37,1,12,13
134,11:38,4,13,17
135,11:38,2,11,13
136,11:42,2,10,12
137,11:45,0,8,8
138,11:48,2,6,8
139,11:51,2,5,7
140,11:52,3,6,9
141,11:54,4,5,9
142,11:56,2,5,7
143,11:56,2,6,8
144,11:58,9,4,13
145,11:58,7,5,12
146,11:59,3,6,9
147,12:02,3,4,7
148,12:08,8,0,8
149,12:08,18,1,19
150,12:11,4,1,5
151,12:15,11,0,11
152,12:16,2,1,3
153,12:18,7,0,7
154,12:27,32,0,32
155,12:28,18,0,18
156,12:30,16,0,16
157,15:46,26,0,26
158,15:46,2,1,3
159,15:47,0,0,0
160,15:47,5,0,5
161,15:47,2,1,3
162,15:47,6,2,8
163,15:49,1,2,3
164,15:50,2,1,3
165,15:51,7,2,9
166,15:52,5,2,7
167,15:53,19,3,22
168,15:53,9,4,13
169,15:56,6,2,8
170,15:57,7,2,9
171,16:03,2,0,2
172,16:04,2,1,3
173,16:07,4,1,5
174,16:08,10,2,12
175,16:08,14,3,17
176,16:09,0,4,4
177,16:09,2,4,6
178,16:11,15,3,18
179,16:11,3,4,7
180,16:13,0,5,5
181,16:16,1,2,3
182,16:20,10,0,10
183,16:20,6,1,7
184,16:27,15,0,15
185,16:28,14,0,14
186,16:29,6,1,7
187,16:34,3,0,3
188,16:37,7,0,7
189,16:37,7,0,7
190,16:44,19,0,19
191,16:44,1,1,2
192,16:44,17,1,18
193,16:45,5,0,5
194,16:47,6,0,6
195,16:51,0,0,0
196,16:52,11,1,12
197,16:52,1,0,1
198,16:56,4,1,5
199,16:57,3,0,3
