Number,Arrival time,X1,X2,X3
001,08:30,5,0,5
002,08:31,4,1,5
003,08:31,4,0,4
004,08:32,4,1,5
005,08:33,2,2,4
006,08:35,8,3,11
007,08:36,0,3,3
008,08:37,3,4,7
009,08:46,6,2,8
010,08:48,12,3,15
011,08:51,2,2,4
012,08:51,1,3,4
013,08:52,2,4,6
014,08:52,9,5,14
015,09:00,1,4,5
016,09:00,4,5,9
017,09:02,0,3,3
018,09:02,9,4,13
019,09:04,3,2,5
020,09:04,2,2,4
021,09:04,0,3,3
022,09:05,12,3,15
023,09:06,0,4,4
024,09:08,39,4,43
025,09:11,5,4,9
026,09:11,19,5,24
027,09:12,7,3,10
028,09:13,3,2,5
029,09:14,5,2,7
030,09:15,3,3,6
031,09:15,0,4,4
032,09:16,3,5,8
033,09:17,2,6,8
034,09:19,4,6,10
035,09:22,3,7,10
036,09:22,8,8,16
037,09:24,5,9,14
038,09:25,0,10,10
039,09:26,0,11,11
040,09:26,0,12,12
041,09:28,12,12,24
042,09:29,4,13,17
043,09:29,13,14,27
044,09:29,1,15,16
045,09:31,4,14,18
046,09:33,2,15,17
047,09:35,0,11,11
048,09:35,12,12,24
049,09:38,11,6,17
050,09:39,5,7,12
051,09:42,8,8,16
052,09:43,1,9,10
053,09:43,12,8,20
054,09:45,0,7,7
055,09:45,1,8,9
056,09:47,4,9,13
057,09:49,2,8,10
058,09:49,4,8,12
059,09:51,4,9,13
060,09:56,10,8,18
061,09:56,0,9,9
062,10:00,8,4,12
063,10:02,2,3,5
064,10:02,0,4,4
065,10:02,6,5,11
066,10:03,0,6,6
067,10:04,1,7,8
068,10:08,3,3,6
069,10:09,3,3,6
070,10:09,20,4,24
071,10:12,6,2,8
072,10:13,8,3,11
073,10:14,3,4,7
074,10:14,12,5,17
075,10:14,2,6,8
076,10:15,3,2,5
077,10:16,15,3,18
078,10:24,10,0,10
079,10:27,6,1,7
080,10:28,5,1,6
081,10:29,1,2,3
082,10:31,1,3,4
083,10:31,2,4,6
084,10:35,2,2,4
085,10:35,14,3,17
086,10:37,1,4,5
087,10:37,2,5,7
088,10:37,4,4,8
089,10:39,1,3,4
090,10:41,32,1,33
091,10:43,3,1,4
092,10:43,1,2,3
093,10:43,9,3,12
094,10:44,3,4,7
095,10:47,1,0,1
096,10:49,5,1,6
097,10:50,6,2,8
098,10:52,0,2,2
099,10:53,2,2,4
100,10:56,2,0,2
101,10:57,9,1,10
102,10:57,5,2,7
103,10:58,5,2,7
104,10:59,3,2,5
105,11:00,7,2,9
106,11:02,5,2,7
107,11:03,2,3,5
108,11:03,0,4,4
109,11:06,6,3,9
110,11:08,1,2,3
111,11:08,5,3,8
112,11:10,3,4,7
113,11:10,4,5,9
114,11:10,5,6,11
115,11:11,4,5,9
116,11:12,1,6,7
117,11:15,3,3,6
118,11:15,3,4,7
119,11:15,19,5,24
120,11:15,5,6,11
121,11:18,1,4,5
122,11:21,2,4,6
123,11:21,7,5,12
124,11:23,2,2,4
125,11:26,0,2,2
126,11:28,0,1,1
127,11:28,0,2,2
128,11:28,2,2,4
129,11:30,6,0,6
130,11:32,8,1,9
131,11:32,6,1,7
132,11:36,4,0,4
133,11:37,8,1,9
134,11:38,4,2,6
135,11:38,1,3,4
136,11:39,0,4,4
137,11:39,5,4,9
138,11:44,4,2,6
139,11:44,5,3,8
140,11:47,3,0,3
141,11:48,5,1,6
142,11:50,2,1,3
143,11:50,4,1,5
144,11:51,11,1,12
145,11:51,4,2,6
146,11:52,10,3,13
147,11:52,4,4,8
148,11:55,1,2,3
149,11:56,3,3,6
150,11:58,3,2,5
151,11:58,3,3,6
152,12:01,2,2,4
153,12:01,1,3,4
154,12:02,9,4,13
155,12:02,7,5,12
156,12:05,2,4,6
157,12:06,22,4,26
158,12:06,8,5,13
159,12:07,32,5,37
160,12:08,1,4,5
161,12:12,11,2,13
162,12:13,4,3,7
163,12:16,0,2,2
165,12:20,4,0,4
166,12:20,5,1,6
167,12:22,15,2,17
168,12:23,1,2,3
169,12:24,1,3,4
170,12:25,19,4,23
171,12:30,12,4,16
172,15:46,1,0,1
173,15:46,12,1,13
174,15:46,5,2,7
175,15:46,3,3,6
176,15:46,8,4,12
177,15:50,0,1,1
178,15:50,7,2,9
179,15:51,4,3,7
180,15:51,0,4,4
181,15:55,3,2,5
182,15:56,11,3,14
183,15:56,2,4,6
184,15:57,1,4,5
185,15:59,3,5,8
186,15:59,0,4,4
187,16:00,4,5,9
188,16:01,1,3,4
189,16:04,5,1,6
190,16:05,7,2,9
191,16:06,7,1,8
192,16:07,7,2,9
193,16:08,6,1,7
194,16:08,8,2,10
195,16:11,0,3,3
196,16:12,10,3,13
197,16:14,1,4,5
198,16:17,1,3,4
199,16:18,9,4,13
200,16:20,8,3,11
201,16:20,9,4,13
202,16:22,2,5,7
203,16:24,1,5,6
204,16:24,5,6,11
205,16:30,3,2,5
206,16:30,3,3,6
207,16:31,6,4,10
208,16:35,7,3,10
209,16:37,7,3,10
210,16:38,7,4,11
211,16:39,1,3,4
212,16:39,2,3,5
213,16:41,4,4,8
214,16:41,5,5,10
215,16:45,1,3,4
216,16:46,0,4,4
217,16:49,3,3,6
218,16:50,3,3,6
219,16:50,10,4,14
220,16:51,8,5,13
221,16:54,4,1,5
222,16:56,0,1,1
223,16:57,2,1,3
224,16:59,16,2,18
225,17:01,5,1,6
226,17:02,0,1,1
227,17:03,7,2,9
228,17:04,1,2,3
229,17:05,1,0,1
230,17:07,5,0,5
231,17:08,0,0,0
232,17:08,1,1,2
233,17:10,8,0,8
234,17:10,2,1,3
235,17:12,0,1,1
236,17:12,16,1,17
237,17:14,2,0,2
238,17:16,1,0,1
239,17:17,2,1,3
240,17:18,6,2,8
241,17:19,3,0,3
242,17:20,6,1,7
243,17:21,10,2,12
244,17:21,3,3,6
245,17:23,14,3,17
246,17:23,0,3,3
247,17:25,40,2,42
248,17:29,2,2,4
249,17:32,1,2,3
250,17:32,5,3,8
251,17:35,3,4,7
252,17:36,3,4,7
253,17:36,3,5,8
255,17:37,3,7,10
256,17:37,3,8,11
257,17:39,12,9,21
258,17:42,3,10,13
259,17:42,4,11,15
260,17:43,2,11,13
261,17:48,0,10,10
262,17:57,1,9,10
263,17:57,8,10,18
264,18:00,1,9,10
265,18:07,3,6,9
266,18:11,0,5,5
267,18:15,5,3,8
268,18:17,1,2,3
269,18:18,3,2,5
270,18:18,4,3,7
271,18:18,7,4,11
272,18:19,1,5,6
273,18:20,6,4,10
274,18:21,5,5,10
275,18:22,20,5,25
276,18:28,6,1,7
277,18:29,11,2,13
278,18:34,3,0,3
279,18:37,3,1,4
280,18:39,3,1,4
281,18:47,14,1,15
282,18:50,5,0,5
283,18:51,1,1,2
284,18:52,4,2,6
285,18:52,1,3,4
286,18:52,19,1,20
287,18:57,8,0,8
288,19:02,8,0,8
289,19:04,6,0,6
290,19:06,3,0,3
292,19:10,11,1,12
293,19:12,3,0,3
