Number,Arrival time,X1,X2,X3
001,08:31,5,0,5
002,08:31,12,0,12
003,08:34,4,0,4
004,08:34,9,1,10
005,08:34,0,2,2
006,08:34,1,3,4
007,08:37,11,2,13
008,08:38,2,3,5
009,08:39,2,4,6
010,08:42,3,3,6
011,08:44,1,3,4
012,08:44,21,4,25
013,08:46,1,4,5
014,08:48,2,3,5
015,08:54,3,0,3
016,08:54,2,1,3
017,08:55,4,0,4
018,08:55,38,1,39
019,09:00,6,0,6
020,09:01,6,0,6
021,09:06,2,0,2
022,09:07,11,0,11
023,09:08,6,0,6
024,09:08,4,0,4
025,09:10,4,0,4
026,09:10,6,1,7
027,09:18,19,0,19
028,09:18,2,0,2
029,09:19,8,0,8
030,09:20,4,1,5
031,09:24,39,0,39
032,09:26,3,0,3
033,09:26,3,0,3
034,09:26,4,1,5
035,09:29,3,1,4
036,09:29,13,2,15
037,09:31,5,2,7
038,09:34,1,1,2
039,09:37,24,0,24
040,09:37,6,0,6
041,09:41,4,0,4
042,09:44,3,0,3
043,09:46,5,0,5
044,09:46,9,0,9
045,09:46,9,1,10
046,09:51,1,0,1
047,09:53,11,0,11
048,09:56,5,0,5
049,09:56,2,1,3
050,09:58,10,0,10
051,09:58,10,1,11
052,09:59,0,1,1
053,10:00,0,2,2
054,10:03,3,0,3
055,10:03,0,0,0
056,10:04,1,1,2
057,10:04,4,2,6
058,10:07,1,0,1
059,10:08,3,0,3
060,10:08,3,1,4
061,10:08,5,2,7
062,10:10,2,1,3
063,10:10,17,2,19
064,10:11,0,3,3
065,10:11,3,3,6
066,10:12,14,4,18
067,10:12,7,5,12
068,10:14,20,1,21
069,10:15,7,1,8
070,10:21,3,0,3
071,10:21,4,1,5
072,10:21,8,2,10
073,10:22,8,3,11
074,10:22,0,4,4
075,10:24,1,4,5
076,10:25,15,5,20
077,10:26,7,5,12
078,10:26,7,5,12
079,10:27,1,6,7
080,10:30,0,6,6
081,10:32,2,7,9
082,10:32,5,7,12
083,10:33,8,6,14
084,10:35,1,5,6
085,10:35,16,6,22
086,10:35,9,7,16
087,10:35,1,8,9
088,10:37,15,8,23
089,10:37,5,9,14
090,10:38,15,10,25
091,10:39,9,8,17
092,10:40,11,9,20
093,10:41,3,9,12
094,10:41,16,8,24
095,10:43,4,9,13
096,10:43,0,10,10
097,10:46,5,9,14
098,10:47,7,10,17
099,10:49,2,11,13
100,10:52,2,10,12
101,10:53,0,10,10
102,10:54,3,11,14
103,10:54,0,12,12
104,10:55,13,13,26
105,10:56,2,13,15
106,10:56,0,14,14
107,10:58,4,15,19
108,11:12,7,7,14
109,11:13,0,6,6
110,11:13,9,5,14
111,11:13,0,6,6
112,11:16,5,5,10
113,11:16,18,5,23
114,11:16,19,6,25
115,11:17,16,6,22
116,11:17,4,6,10
117,11:18,4,6,10
118,11:26,0,4,4
119,11:26,3,5,8
120,11:28,13,3,16
121,11:30,4,3,7
122,11:31,30,4,34
123,11:39,4,1,5
124,11:40,7,1,8
125,11:40,5,2,7
126,11:41,5,3,8
127,11:41,3,4,7
128,11:43,7,4,11
129,11:43,4,5,9
130,11:46,7,5,12
131,11:48,9,4,13
132,11:50,2,4,6
133,11:54,5,1,6
134,11:55,7,2,9
135,11:57,3,2,5
136,11:58,0,3,3
137,11:58,0,4,4
138,11:58,5,5,10
139,11:59,5,3,8
140,12:02,4,3,7
141,12:02,11,2,13
142,12:03,0,3,3
143,12:03,7,3,10
144,12:05,5,3,8
145,12:07,0,3,3
146,12:08,1,1,2
147,12:08,5,1,6
148,12:09,45,2,47
149,12:11,5,1,6
150,12:11,3,2,5
151,12:14,1,3,4
152,12:17,3,1,4
153,12:19,3,1,4
154,12:20,25,0,25
155,12:21,35,0,35
156,12:22,25,1,26
157,15:46,1,0,1
158,15:46,12,1,13
159,15:46,11,2,13
160,15:46,4,3,7
161,15:46,8,4,12
162,15:47,11,5,16
163,15:47,12,5,17
164,15:47,7,6,13
165,15:47,1,7,8
166,15:48,3,8,11
167,15:49,1,7,8
168,15:58,2,7,9
169,15:58,4,8,12
170,16:04,5,3,8
171,16:04,3,4,7
172,16:05,43,5,48
173,16:06,4,5,9
174,16:07,3,6,9
