Number,Arrival time,X1,X2,X3
001,08:31,9,0,9
002,08:31,1,1,2
003,08:31,0,2,2
004,08:31,3,3,6
005,08:31,3,4,7
006,08:32,3,5,8
007,08:35,13,5,18
008,08:36,1,6,7
009,08:44,1,3,4
010,08:46,4,3,7
011,08:46,0,4,4
012,08:46,1,4,5
013,08:50,7,4,11
014,08:53,2,4,6
015,08:56,3,4,7
016,08:58,53,4,57
017,09:00,1,2,3
018,09:02,7,3,10
019,09:02,19,3,22
020,09:02,4,3,7
021,09:06,4,0,4
022,09:10,2,0,2
023,09:11,1,0,1
024,09:12,9,0,9
025,09:13,3,1,4
026,09:14,0,0,0
027,09:15,5,1,6
028,09:15,7,2,9
029,09:24,23,0,23
030,09:30,2,0,2
031,09:33,1,0,1
032,09:40,4,0,4
033,09:43,1,0,1
034,09:44,3,0,3
035,09:44,3,1,4
036,09:46,5,0,5
037,09:48,3,1,4
038,09:50,5,0,5
039,09:50,11,1,12
040,09:51,10,2,12
041,09:54,2,1,3
042,09:56,1,0,1
043,09:56,5,1,6
044,09:57,5,1,6
045,10:02,0,0,0
046,10:03,1,1,2
047,10:04,8,0,8
048,10:04,41,0,41
049,10:04,4,1,5
050,10:06,3,0,3
051,10:08,8,1,9
052,10:09,3,2,5
053,10:09,3,2,5
054,10:10,2,2,4
055,10:10,10,3,13
056,10:16,9,0,9
057,10:18,17,0,17
058,10:25,11,0,11
059,10:27,10,0,10
060,10:37,4,0,4
061,10:38,3,0,3
062,10:38,3,0,3
063,10:38,0,0,0
064,10:39,12,1,13
065,10:40,14,2,16
066,10:40,5,3,8
067,10:43,11,0,11
068,10:45,9,0,9
069,10:47,4,0,4
070,10:52,3,0,3
071,10:52,0,0,0
072,10:54,3,1,4
073,10:55,2,1,3
074,10:55,22,1,23
075,10:55,7,2,9
076,10:55,1,2,3
077,10:56,1,1,2
078,11:00,9,1,10
079,11:03,2,0,2
080,11:03,5,1,6
081,11:04,9,1,10
082,11:05,14,2,16
083,11:06,11,1,12
084,11:07,0,2,2
085,11:07,8,3,11
086,11:09,7,4,11
087,11:11,0,4,4
088,11:13,7,4,11
089,11:13,2,5,7
090,11:13,15,6,21
091,11:15,1,7,8
092,11:17,3,7,10
093,11:21,4,4,8
094,11:21,2,5,7
095,11:23,3,5,8
096,11:24,8,6,14
097,11:26,0,4,4
098,11:26,7,5,12
099,11:27,5,5,10
100,11:28,8,5,13
101,11:33,0,0,0
102,11:36,9,1,10
103,11:36,3,2,5
104,11:39,7,0,7
105,11:39,0,1,1
106,11:40,3,1,4
107,11:42,5,1,6
108,11:43,4,1,5
109,11:44,7,2,9
110,11:44,3,3,6
111,11:44,2,4,6
112,11:46,4,4,8
113,11:48,7,2,9
114,11:48,0,3,3
115,11:49,8,4,12
116,11:50,8,5,13
117,11:50,4,6,10
118,11:54,1,2,3
119,11:55,0,3,3
120,11:57,14,2,16
121,11:57,20,3,23
122,11:59,6,1,7
123,12:01,2,0,2
124,12:03,10,0,10
125,12:03,21,1,22
126,12:03,5,1,6
127,12:04,1,2,3
128,12:05,4,2,6
129,12:05,3,3,6
130,12:06,29,4,33
131,12:06,28,5,33
132,12:07,2,5,7
133,12:08,1,6,7
134,12:10,7,7,14
135,12:11,2,8,10
136,12:13,0,7,7
137,12:15,15,7,22
138,12:23,18,4,22
139,12:26,17,4,21
140,15:46,2,0,2
141,15:46,6,1,7
142,15:47,11,0,11
143,15:48,14,0,14
144,15:48,2,1,3
145,15:49,2,2,4
146,15:49,5,1,6
147,15:50,8,2,10
148,15:50,2,2,4
149,15:51,3,3,6
150,15:55,0,1,1
151,15:55,9,2,11
152,15:56,20,3,23
153,15:56,5,4,9
154,16:01,7,0,7
155,16:02,2,1,3
156,16:03,1,2,3
157,16:07,1,1,2
158,16:07,8,2,10
159,16:07,20,2,22
160,16:08,1,3,4
161,16:08,19,4,23
162,16:08,6,4,10
163,16:09,12,3,15
164,16:12,7,2,9
165,16:16,4,2,6
166,16:24,27,0,27
167,16:30,5,0,5
168,16:30,3,0,3
169,16:31,8,0,8
170,16:31,1,0,1
171,16:32,4,1,5
172,16:32,2,1,3
173,16:33,6,1,7
174,16:34,5,1,6
175,16:36,5,0,5
176,16:39,2,0,2
177,16:42,5,0,5
178,16:42,4,1,5
179,16:42,1,2,3
180,16:45,0,0,0
181,16:46,2,0,2
182,16:47,1,0,1
183,16:47,17,1,18
184,16:48,1,0,1
185,16:49,19,1,20
186,16:49,13,1,14
187,17:05,5,0,5
188,17:06,1,0,1
189,17:07,8,0,8
190,17:08,24,0,24
191,17:10,4,0,4
192,17:14,11,0,11
193,17:15,5,0,5
194,17:18,12,0,12
195,17:18,4,1,5
196,17:24,0,0,0
197,17:24,3,1,4
198,17:24,4,2,6
199,17:26,5,3,8
200,17:26,1,3,4
201,17:30,12,1,13
202,17:30,9,2,11
203,17:34,4,2,6
204,17:34,4,3,7
205,17:35,4,2,6
206,17:35,3,1,4
207,17:36,7,1,8
208,17:38,6,2,8
209,17:39,7,3,10
210,17:40,0,1,1
211,17:43,6,1,7
212,17:46,2,0,2
213,17:46,1,1,2
214,17:47,3,0,3
215,17:47,4,1,5
216,17:48,8,0,8
217,17:50,4,1,5
218,17:51,2,0,2
219,17:56,13,0,13
220,17:57,3,0,3
