Number,Arrival time,X1,X2,X3
001,08:31,1,0,1
002,08:31,17,0,17
003,08:48,4,0,4
004,08:52,3,0,3
005,08:55,47,0,47
006,08:57,2,0,2
007,08:57,5,1,6
008,08:57,4,2,6
009,08:58,3,2,5
010,09:03,7,0,7
011,09:09,10,0,10
012,09:12,2,0,2
013,09:13,14,1,15
014,09:15,0,0,0
015,09:15,54,1,55
016,09:17,0,0,0
017,09:18,33,1,34
018,09:21,7,0,7
019,09:28,5,0,5
020,09:29,2,0,2
021,09:31,1,0,1
022,09:33,6,0,6
023,09:33,9,1,10
024,09:39,3,0,3
025,09:43,9,0,9
026,09:43,2,0,2
027,09:44,10,0,10
028,09:45,6,0,6
029,09:49,3,0,3
030,09:50,6,1,7
031,09:51,1,2,3
032,09:51,0,2,2
033,09:51,13,3,16
034,09:52,2,4,6
035,09:53,1,3,4
036,09:55,2,1,3
037,09:55,3,1,4
038,10:00,2,0,2
039,10:00,12,0,12
040,10:05,4,0,4
041,10:05,5,1,6
042,10:07,4,0,4
043,10:07,4,1,5
044,10:08,3,2,5
045,10:09,3,3,6
046,10:10,3,4,7
047,10:10,2,5,7
048,10:10,24,6,30
049,10:11,33,4,37
050,10:16,5,1,6
051,10:16,9,2,11
052,10:22,2,0,2
053,10:24,1,0,1
054,10:26,14,0,14
055,10:26,2,1,3
056,10:27,2,0,2
057,10:27,7,0,7
058,10:28,2,1,3
059,10:28,7,2,9
060,10:35,4,0,4
061,10:40,1,1,2
062,10:42,25,0,25
063,10:43,6,1,7
064,10:44,4,2,6
065,10:44,0,2,2
066,10:45,7,2,9
067,10:48,4,2,6
068,10:49,3,3,6
069,10:49,0,4,4
070,10:49,2,5,7
071,10:50,1,6,7
072,10:50,15,6,21
073,10:51,0,6,6
074,10:51,8,7,15
075,10:52,0,8,8
076,10:52,3,9,12
077,10:52,14,10,24
078,10:53,2,11,13
079,10:53,10,11,21
080,10:53,2,12,14
081,10:54,6,13,19
082,10:57,0,13,13
083,10:59,0,10,10
084,11:02,4,7,11
085,11:05,2,6,8
086,11:06,10,6,16
087,11:08,11,7,18
088,11:09,8,6,14
089,11:10,5,5,10
090,11:11,10,5,15
091,11:14,17,6,23
092,11:15,6,7,13
093,11:20,5,3,8
094,11:20,2,4,6
095,11:23,0,5,5
096,11:23,4,6,10
097,11:25,6,6,12
098,11:29,13,4,17
099,11:30,1,5,6
100,11:31,1,6,7
101,11:31,12,7,19
102,11:32,16,8,24
103,11:35,9,6,15
104,11:35,8,7,15
105,11:35,1,8,9
106,11:41,2,3,5
107,11:41,16,4,20
108,11:43,2,4,6
109,11:44,1,4,5
110,11:45,0,5,5
111,11:49,3,6,9
112,11:50,8,7,15
113,11:51,8,8,16
114,11:53,7,6,13
115,11:59,9,1,10
116,11:59,0,2,2
117,12:01,5,2,7
118,12:03,2,3,5
119,12:03,1,4,5
120,12:06,6,2,8
121,12:09,4,2,6
122,12:10,1,3,4
123,12:11,10,3,13
124,12:11,33,4,37
125,12:12,2,3,5
126,12:15,30,2,32
127,15:48,0,0,0
128,15:48,5,1,6
129,15:48,8,2,10
130,15:51,26,0,26
131,15:53,3,1,4
132,15:54,1,1,2
133,15:56,4,0,4
134,15:58,5,0,5
135,15:58,4,0,4
136,15:59,2,0,2
137,16:01,2,0,2
138,16:03,5,0,5
139,16:04,0,1,1
140,16:04,7,2,9
141,16:05,5,2,7
142,16:08,18,1,19
143,16:11,0,0,0
144,16:12,5,0,5
145,16:13,8,1,9
146,16:14,4,1,5
147,16:17,6,1,7
148,16:20,3,0,3
149,16:20,0,0,0
150,16:21,4,1,5
151,16:21,1,2,3
152,16:22,2,3,5
153,16:22,0,4,4
154,16:22,4,5,9
155,16:22,1,6,7
156,16:22,6,7,13
157,16:24,1,5,6
158,16:25,7,5,12
159,16:29,6,0,6
160,16:29,8,0,8
161,16:31,14,0,14
162,16:35,6,1,7
163,16:37,4,0,4
164,16:39,3,0,3
165,16:40,1,0,1
166,16:42,10,1,11
167,16:42,8,2,10
168,16:43,2,2,4
169,16:44,19,1,20
170,16:44,5,1,6
171,16:45,0,2,2
172,16:47,5,1,6
173,16:48,9,2,11
174,16:49,0,3,3
175,16:49,3,4,7
176,16:51,2,4,6
177,16:51,4,4,8
178,16:52,14,2,16
179,16:53,3,3,6
180,16:59,0,0,0
181,16:59,3,1,4
182,16:59,7,2,9
183,17:05,4,0,4
184,17:05,4,1,5
185,17:09,2,0,2
186,17:10,0,0,0
187,17:10,10,0,10
188,17:11,2,0,2
189,17:12,9,0,9
190,17:12,1,0,1
191,17:13,19,0,19
192,17:13,7,0,7
193,17:21,11,0,11
194,17:21,3,1,4
195,17:25,5,0,5
196,17:28,1,0,1
197,17:29,2,0,2
198,17:30,5,1,6
199,17:30,3,2,5
200,17:33,8,0,8
201,17:36,4,0,4
202,17:37,1,0,1
203,17:39,7,0,7
204,17:40,6,0,6
205,17:47,9,0,9
206,17:53,1,0,1
207,17:54,0,0,0
208,17:54,3,1,4
209,17:55,3,2,5
210,17:55,5,3,8
211,17:57,0,1,1
212,17:58,4,1,5
213,17:59,7,1,8
214,18:02,0,0,0
215,18:02,0,1,1
216,18:04,4,1,5
217,18:05,3,1,4
218,18:05,14,2,16
219,18:07,10,1,11
220,18:07,6,2,8
221,18:08,1,3,4
222,18:12,4,0,4
223,18:16,8,0,8
224,18:16,1,1,2
225,18:17,7,1,8
226,18:20,0,0,0
227,18:22,2,0,2
228,18:24,1,0,1
229,18:24,7,1,8
230,18:25,3,0,3
231,18:28,2,0,2
232,18:28,5,0,5
233,18:30,1,0,1
234,18:31,3,0,3
235,18:31,8,1,9
236,18:32,3,1,4
237,18:32,15,1,16
238,18:34,10,1,11
239,18:36,2,0,2
240,18:39,2,0,2
241,18:40,8,0,8
242,18:41,5,0,5
243,18:43,5,1,6
244,18:44,6,2,8
245,18:46,5,2,7
246,18:47,0,3,3
247,18:54,11,0,11
248,18:54,4,0,4
249,18:55,7,1,8
250,18:55,3,2,5
252,18:59,2,0,2
253,19:02,11,0,11
254,19:03,9,0,9
255,19:04,4,1,5
256,19:07,1,0,1
257,19:07,1,1,2
258,19:10,8,1,9
259,19:12,13,0,13
261,19:14,4,0,4
262,19:19,0,0,0
