Number,Arrival time,X1,X2,X3
001,08:32,2,0,2
002,08:33,1,1,2
003,08:33,5,2,7
004,08:37,6,2,8
005,08:40,6,1,7
006,08:43,7,1,8
007,08:43,0,2,2
008,08:44,0,2,2
009,08:47,5,3,8
010,08:47,20,3,23
011,08:48,1,4,5
012,08:48,5,5,10
013,08:49,0,6,6
014,08:49,5,7,12
015,08:54,9,5,14
016,08:56,6,5,11
017,08:56,13,6,19
018,08:57,3,7,10
019,08:59,2,7,9
020,09:00,2,4,6
021,09:00,16,5,21
022,09:00,2,6,8
023,09:01,9,7,16
024,09:01,9,7,16
025,09:07,3,7,10
026,09:08,3,8,11
027,09:10,0,7,7
028,09:12,2,7,9
029,09:13,3,7,10
030,09:13,5,7,12
031,09:13,0,8,8
032,09:19,2,5,7
033,09:20,2,6,8
034,09:26,5,1,6
035,09:27,0,2,2
036,09:28,1,3,4
037,09:29,8,3,11
038,09:29,0,3,3
039,09:31,3,1,4
040,09:33,2,1,3
041,09:35,2,2,4
042,09:36,12,2,14
043,09:37,6,3,9
044,09:47,1,0,1
045,09:47,2,0,2
046,09:48,1,0,1
047,09:48,4,1,5
048,09:50,3,0,3
049,09:52,4,0,4
050,09:53,3,0,3
051,09:53,1,1,2
052,09:53,3,2,5
053,09:56,2,0,2
054,09:57,4,0,4
055,09:57,5,0,5
056,09:58,16,0,16
057,09:59,1,0,1
058,10:00,3,0,3
059,10:00,13,1,14
060,10:01,12,1,13
061,10:05,4,0,4
062,10:05,3,1,4
063,10:07,7,1,8
064,10:09,0,2,2
065,10:09,0,3,3
066,10:12,7,3,10
067,10:13,0,4,4
068,10:16,8,4,12
069,10:16,0,4,4
070,10:16,10,4,14
071,10:16,11,5,16
072,10:17,2,6,8
073,10:21,3,3,6
074,10:21,7,3,10
075,10:22,6,4,10
076,10:24,0,3,3
077,10:25,15,4,19
078,10:28,3,2,5
079,10:28,0,3,3
080,10:30,2,2,4
081,10:31,1,3,4
082,10:33,2,3,5
083,10:33,7,4,11
