Number,Arrival time,X1,X2,X3
001,08:30,4,0,4
002,08:30,0,1,1
003,08:31,1,0,1
004,08:32,1,0,1
005,08:34,2,0,2
006,08:35,13,0,13
007,08:36,20,0,20
008,08:49,12,0,12
009,08:56,1,0,1
010,08:58,2,0,2
011,08:58,9,1,10
012,08:58,13,2,15
013,09:00,6,3,9
014,09:03,1,0,1
015,09:05,3,1,4
016,09:08,9,1,10
017,09:09,10,2,12
018,09:09,11,3,14
019,09:14,0,1,1
020,09:18,18,2,20
021,09:18,8,2,10
022,09:23,3,0,3
023,09:26,8,0,8
024,09:27,4,1,5
025,09:31,11,1,12
026,09:32,8,2,10
027,09:32,4,3,7
028,09:32,9,4,13
029,09:33,1,5,6
030,09:34,7,5,12
031,09:38,3,4,7
032,09:42,3,4,7
033,09:43,7,4,11
034,09:44,1,5,6
035,09:45,10,6,16
036,09:48,1,6,7
037,09:48,0,7,7
038,09:50,8,7,15
039,09:50,12,8,20
040,09:51,2,9,11
041,09:57,3,5,8
042,09:58,0,5,5
043,09:59,3,6,9
044,09:59,8,6,14
045,10:02,3,5,8
046,10:03,5,6,11
047,10:07,0,6,6
048,10:08,5,6,11
049,10:11,4,4,8
050,10:12,4,3,7
051,10:14,4,3,7
052,10:17,12,2,14
053,10:17,5,3,8
054,10:19,2,2,4
055,10:20,3,2,5
056,10:22,6,3,9
057,10:24,0,2,2
058,10:24,4,3,7
059,10:25,14,4,18
060,10:26,2,5,7
061,10:26,2,6,8
062,10:26,7,6,13
063,10:27,1,7,8
064,10:31,5,4,9
065,10:32,2,5,7
066,10:32,0,6,6
067,10:35,9,4,13
068,10:35,1,5,6
069,10:36,0,5,5
070,10:38,6,4,10
071,10:40,1,4,5
072,10:41,3,4,7
073,10:42,0,5,5
074,10:43,8,6,14
075,10:45,1,7,8
076,10:45,4,8,12
077,10:49,5,7,12
078,10:49,4,7,11
079,10:49,4,8,12
080,10:50,0,9,9
081,10:51,4,8,12
082,10:53,4,7,11
083,10:56,2,5,7
084,10:57,0,6,6
085,10:57,7,7,14
086,10:58,1,8,9
087,11:00,4,7,11
088,11:00,3,8,11
089,11:02,1,7,8
090,11:03,12,8,20
091,11:05,7,7,14
092,11:07,11,5,16
093,11:08,12,6,18
094,11:08,0,7,7
095,11:09,0,5,5
096,11:10,1,6,7
097,11:10,5,7,12
098,11:12,13,7,20
099,11:13,3,8,11
100,11:13,2,9,11
101,11:13,0,10,10
102,11:16,1,9,10
103,11:18,0,9,9
104,11:20,6,10,16
105,11:20,2,11,13
106,11:22,0,9,9
107,11:23,8,10,18
108,11:23,11,11,22
109,11:23,0,10,10
110,11:23,2,11,13
111,11:23,2,12,14
112,11:23,0,13,13
113,11:26,2,13,15
114,11:27,3,14,17
115,11:30,0,11,11
116,11:31,2,10,12
117,11:31,2,11,13
118,11:32,3,12,15
119,11:32,29,13,42
120,11:32,4,14,18
121,11:33,0,15,15
122,11:35,4,14,18
123,11:39,2,11,13
124,11:40,0,10,10
125,11:42,6,10,16
126,11:42,10,11,21
127,11:44,1,10,11
128,11:45,5,10,15
129,11:46,1,10,11
130,11:51,1,6,7
