Number,Arrival time,X1,X2,X3
001,08:32,0,0,0
002,08:32,0,1,1
003,08:32,1,2,3
004,08:32,6,3,9
005,08:33,8,4,12
006,08:34,1,5,6
007,08:40,5,1,6
008,08:42,3,2,5
009,08:43,2,3,5
010,08:45,0,4,4
011,08:47,16,5,21
012,08:48,0,5,5
013,08:49,15,5,20
014,08:50,0,6,6
015,08:53,0,6,6
016,08:55,2,6,8
017,09:00,11,0,11
018,09:02,3,0,3
019,09:05,6,0,6
020,09:06,23,0,23
021,09:07,7,1,8
022,09:10,8,1,9
023,09:11,10,2,12
024,09:13,1,0,1
025,09:14,6,0,6
026,09:15,2,1,3
027,09:15,8,2,10
028,09:16,5,3,8
029,09:16,8,3,11
030,09:18,5,4,9
031,09:19,5,4,9
032,09:20,4,5,9
033,09:23,6,6,12
034,09:23,0,5,5
035,09:24,12,6,18
036,09:24,4,7,11
037,09:24,5,8,13
038,09:25,3,9,12
039,09:26,6,9,15
040,09:26,11,10,21
041,09:30,1,10,11
042,09:31,10,10,20
043,09:33,2,10,12
044,09:33,5,11,16
045,09:33,13,12,25
046,09:34,5,12,17
047,09:37,2,10,12
048,09:40,4,9,13
049,09:40,0,10,10
050,09:41,13,10,23
051,09:42,4,11,15
052,09:45,4,11,15
053,09:49,10,7,17
054,09:50,4,7,11
055,09:51,6,8,14
056,09:51,2,9,11
057,09:52,19,10,29
058,09:58,1,5,6
059,10:00,3,5,8
060,10:02,6,5,11
061,10:02,0,5,5
062,10:08,8,2,10
063,10:09,2,2,4
064,10:11,4,0,4
065,10:12,13,1,14
066,10:12,2,2,4
067,10:14,21,2,23
068,10:16,0,2,2
069,10:18,2,1,3
070,10:21,15,0,15
071,10:24,2,0,2
072,10:27,16,0,16
073,10:28,2,0,2
074,10:30,10,0,10
075,10:37,1,0,1
076,10:40,11,0,11
077,10:43,2,0,2
078,10:43,10,1,11
079,10:44,3,1,4
080,10:46,10,1,11
081,10:46,4,2,6
082,10:47,13,2,15
083,10:47,3,3,6
084,10:48,3,3,6
085,10:48,5,4,9
086,10:49,0,5,5
087,10:52,2,5,7
088,10:52,2,4,6
089,10:54,2,5,7
090,10:54,1,5,6
091,10:55,6,6,12
092,10:58,1,3,4
093,10:58,8,4,12
094,11:00,7,5,12
095,11:00,4,6,10
096,11:03,28,2,30
097,11:05,3,2,5
098,11:05,0,3,3
099,11:09,20,2,22
100,11:10,3,3,6
101,11:11,1,3,4
102,11:12,10,1,11
103,11:14,1,2,3
104,11:15,7,3,10
105,11:20,7,0,7
106,11:20,1,1,2
107,11:22,3,2,5
108,11:23,3,3,6
109,11:26,5,4,9
110,11:29,3,3,6
111,11:31,5,3,8
112,11:31,3,4,7
113,11:31,4,4,8
