Number,Arrival time,X1,X2,X3
001,08:30,6,0,6
002,08:30,6,1,7
003,08:30,0,2,2
004,08:31,10,3,13
005,08:32,6,2,8
006,08:45,23,0,23
007,08:45,8,0,8
008,08:48,18,0,18
009,08:54,7,0,7
010,09:02,11,0,11
011,09:02,59,0,59
012,09:03,50,0,50
013,09:05,2,0,2
014,09:07,2,1,3
015,09:08,3,2,5
016,09:11,3,2,5
017,09:13,13,2,15
018,09:17,9,0,9
019,09:25,4,0,4
020,09:25,1,1,2
021,09:27,20,1,21
022,09:28,4,2,6
023,09:30,0,3,3
024,09:34,1,1,2
025,09:35,1,2,3
026,09:38,2,0,2
027,09:39,3,1,4
028,09:39,3,2,5
029,09:40,7,2,9
030,09:40,0,3,3
031,09:41,2,4,6
032,09:43,0,4,4
033,09:44,2,5,7
034,09:47,3,5,8
035,09:47,10,6,16
036,09:48,2,6,8
037,09:50,4,5,9
038,09:50,1,6,7
039,09:51,0,5,5
040,09:52,1,5,6
041,09:53,4,6,10
042,09:54,0,5,5
043,09:55,5,4,9
044,10:00,1,0,1
045,10:01,2,0,2
046,10:02,2,1,3
047,10:02,2,2,4
048,10:02,1,3,4
049,10:03,2,3,5
050,10:04,5,4,9
051,10:04,1,3,4
052,10:05,2,4,6
053,10:05,4,5,9
054,10:05,3,6,9
055,10:05,5,6,11
056,10:08,1,1,2
057,10:10,4,1,5
058,10:12,0,1,1
059,10:12,3,1,4
060,10:13,7,0,7
061,10:14,8,1,9
062,10:14,4,2,6
063,10:15,10,3,13
064,10:16,1,2,3
065,10:17,2,2,4
066,10:20,7,3,10
067,10:20,0,4,4
068,10:21,51,4,55
069,10:23,2,5,7
070,10:25,0,3,3
071,10:25,4,3,7
072,10:27,0,3,3
073,10:29,6,3,9
074,10:31,2,2,4
075,10:31,1,3,4
076,10:32,9,4,13
077,10:33,8,3,11
078,10:33,13,4,17
079,10:34,5,5,10
080,10:35,2,6,8
081,10:38,4,6,10
082,10:39,9,6,15
083,10:41,1,6,7
084,10:42,0,6,6
085,10:42,8,7,15
086,10:44,8,8,16
087,10:44,2,9,11
088,10:44,0,10,10
089,10:46,3,11,14
090,10:46,3,12,15
091,10:48,4,12,16
092,10:48,0,13,13
093,10:50,1,13,14
094,10:52,0,13,13
095,10:53,3,13,16
096,10:53,11,14,25
097,10:54,0,15,15
098,10:56,6,15,21
099,10:56,0,16,16
100,11:01,0,14,14
101,11:02,0,15,15
102,11:04,11,16,27
103,11:05,0,16,16
104,11:06,3,17,20
105,11:09,3,17,20
106,11:12,6,16,22
107,11:13,6,16,22
108,11:14,8,16,24
109,11:15,4,17,21
110,11:17,7,15,22
111,11:18,2,11,13
112,11:21,1,8,9
113,11:21,25,8,33
114,11:25,8,7,15
115,11:25,0,8,8
116,11:31,1,6,7
117,11:34,14,6,20
118,11:34,3,7,10
119,11:35,8,7,15
120,11:35,2,7,9
121,11:36,5,8,13
122,11:44,0,4,4
123,11:44,2,5,7
124,11:45,8,5,13
125,11:46,9,6,15
126,11:48,6,7,13
127,11:48,12,8,20
128,11:49,2,8,10
129,11:50,2,9,11
130,11:50,0,10,10
131,11:51,6,11,17
132,11:53,12,12,24
133,11:54,4,13,17
134,12:01,12,9,21
135,12:01,3,9,12
136,12:02,2,10,12
137,12:05,0,9,9
138,12:07,9,10,19
139,12:11,6,6,12
140,12:11,0,7,7
