Number,Arrival time,X1,X2,X3,,,,,
187,8:41,8,13,22,,,,,
188,8:43,12,11,23,,,,,
189,8:43,12,13,25,,,,,
190,8:43,13,11,24,,,,,
191,8:43,10,13,23,,,,,
192,8:43,9,13,22,,,,,
193,8:43,9,13,22,,,,,
194,8:44,11,13,24,,,,,
195,8:44,12,12,25,,,,,
196,8:44,9,12,21,,,,,
197,8:44,11,13,24,,,,,
198,8:45,8,11,19,,,,,
199,8:45,12,11,23,,,,,
200,8:45,12,12,23,,,,,
201,8:45,12,13,25,,,,,
202,8:45,9,11,20,,,,,
203,8:45,8,12,20,,,,,
204,8:45,10,10,20,,,,,
205,8:46,9,13,23,,,,,
206,8:46,10,13,23,,,,,
207,8:46,9,11,20,,,,,
208,8:47,13,11,24,,,,,
209,8:47,13,11,24,,,,,
210,8:47,8,10,19,,,,,
211,8:47,7,13,20,,,,,
212,8:47,9,13,23,,,,,
213,8:47,12,14,25,,,,,
214,8:48,10,13,23,,,,,
215,8:48,9,11,20,,,,,
216,8:48,8,13,21,,,,,
217,8:49,10,11,21,,,,,
218,8:49,9,11,20,,,,,
219,8:49,7,14,21,,,,,
220,8:49,10,13,23,,,,,
221,8:49,8,13,21,,,,,
222,8:49,10,12,21,,,,,
223,8:50,9,10,19,,,,,
224,8:50,8,14,22,,,,,
225,8:50,12,12,24,,,,,
226,8:51,8,14,21,,,,,
227,8:51,10,12,22,,,,,
228,8:51,9,11,20,,,,,
229,8:51,7,12,19,,,,,
230,8:51,8,14,22,,,,,
231,8:51,8,12,21,,,,,
232,8:52,11,12,23,,,,,
233,8:52,9,12,21,,,,,
234,8:52,7,12,19,,,,,
235,8:52,13,12,24,,,,,
236,8:53,9,14,23,,,,,
237,8:53,9,12,20,,,,,
238,8:53,9,12,21,,,,,
239,8:53,12,10,22,,,,,
240,8:53,7,13,21,,,,,
241,8:53,9,13,22,,,,,
242,8:53,11,14,25,,,,,
243,8:54,7,10,17,,,,,
244,8:54,10,11,21,,,,,
245,8:55,9,11,20,,,,,
246,8:55,8,10,19,,,,,
247,8:55,8,13,20,,,,,
248,8:55,12,13,25,,,,,
249,8:55,9,13,22,,,,,
250,8:55,7,14,21,,,,,
251,8:55,13,10,23,,,,,
252,8:55,9,13,22,,,,,
253,8:56,10,13,23,,,,,
254,8:56,8,10,18,,,,,
255,8:56,10,10,20,,,,,
256,8:56,7,12,19,,,,,
257,8:56,9,13,22,,,,,
258,8:57,10,13,23,,,,,
259,8:57,11,11,22,,,,,
260,8:57,9,13,23,,,,,
261,8:57,9,11,20,,,,,
262,8:57,9,13,21,,,,,
263,8:58,10,13,23,,,,,
264,8:58,10,13,24,,,,,
265,8:58,12,13,25,,,,,
266,8:59,8,10,18,,,,,
267,8:59,9,11,20,,,,,
268,8:59,11,12,23,,,,,
269,8:59,12,12,24,,,,,
270,8:59,7,14,21,,,,,
271,8:59,13,14,26,,,,,
272,9:00,7,11,19,,,,,
273,9:00,10,11,21,,,,,
274,9:01,13,13,25,,,,,
275,9:01,12,11,23,,,,,
276,9:01,13,11,24,,,,,
277,9:01,12,14,26,,,,,
278,9:01,7,14,21,,,,,
279,9:02,8,13,21,,,,,
280,9:02,9,13,22,,,,,
281,9:02,8,13,20,,,,,
282,9:03,8,12,20,,,,,
283,9:03,10,13,24,,,,,
284,9:03,9,13,23,,,,,
285,9:03,10,10,20,,,,,
286,9:03,12,12,23,,,,,
287,9:03,10,11,22,,,,,
288,9:04,9,11,20,,,,,
289,9:04,10,10,21,,,,,
290,9:04,7,11,19,,,,,
291,9:05,11,13,24,,,,,
292,9:05,11,12,24,,,,,
293,9:05,11,10,21,,,,,
294,9:05,9,11,20,,,,,
295,9:05,8,11,19,,,,,
296,9:06,8,13,21,,,,,
297,9:06,10,10,20,,,,,
298,9:07,10,14,24,,,,,
299,9:07,10,11,21,,,,,
300,9:07,11,11,22,,,,,
301,9:07,9,13,21,,,,,
302,9:07,9,13,22,,,,,
303,9:08,8,13,21,,,,,
304,9:08,7,11,19,,,,,
305,9:08,11,13,23,,,,,
306,9:09,11,12,23,,,,,
307,9:09,13,14,27,,,,,
308,9:09,13,13,26,,,,,
309,9:09,11,14,25,,,,,
310,9:09,11,10,21,,,,,
311,9:09,10,12,22,,,,,
312,9:10,12,10,23,,,,,
313,9:10,9,13,21,,,,,
314,9:11,9,10,20,,,,,
315,9:11,9,11,20,,,,,
316,9:11,7,14,21,,,,,
317,9:11,10,14,23,,,,,
318,9:11,12,14,26,,,,,
319,9:11,12,10,22,,,,,
320,9:11,12,12,24,,,,,
321,9:12,10,10,20,,,,,
322,9:12,11,10,21,,,,,
323,9:13,9,11,21,,,,,
324,9:13,11,11,22,,,,,
325,9:13,9,13,22,,,,,
326,9:13,9,14,23,,,,,
327,9:13,12,11,24,,,,,
328,9:14,8,12,21,,,,,
329,9:14,8,12,20,,,,,
330,9:15,9,12,21,,,,,
331,9:15,8,13,21,,,,,
332,9:15,10,11,21,,,,,
333,9:15,12,12,24,,,,,
334,9:15,13,10,23,,,,,
335,9:16,8,13,22,,,,,
336,9:16,9,14,23,,,,,
337,9:16,12,14,26,,,,,
338,9:17,7,12,19,,,,,
339,9:17,9,11,19,,,,,
340,9:17,12,11,23,,,,,
341,9:17,9,13,23,,,,,
342,9:17,11,14,24,,,,,
343,9:17,12,14,26,,,,,
344,9:18,9,12,21,,,,,
345,9:19,8,11,19,,,,,
346,9:19,12,11,24,,,,,
347,9:19,12,11,23,,,,,
348,9:19,8,14,21,,,,,
349,9:19,12,14,26,,,,,
350,9:19,9,11,20,,,,,
351,9:20,8,11,19,,,,,
352,9:20,10,14,24,,,,,
353,9:20,12,11,24,,,,,
354,9:20,12,13,25,,,,,
355,9:21,9,14,23,,,,,
356,9:21,10,14,24,,,,,
357,9:21,8,12,20,,,,,
358,9:21,11,11,21,,,,,
359,9:21,9,13,23,,,,,
360,9:22,9,12,21,,,,,
361,9:22,11,13,24,,,,,
362,9:23,12,14,26,,,,,
363,9:23,12,10,22,,,,,
364,9:23,7,11,19,,,,,
365,9:23,8,12,20,,,,,
366,9:23,12,10,22,,,,,
367,9:23,12,10,22,,,,,
368,9:23,13,13,25,,,,,
369,9:23,12,13,25,,,,,
370,9:24,12,12,24,,,,,
371,9:25,9,10,19,,,,,
372,9:25,11,10,21,,,,,
373,9:25,11,11,22,,,,,
374,9:25,12,13,25,,,,,
375,9:25,9,11,20,,,,,
376,9:26,11,11,22,,,,,
