Number,Arrival time,X1,X2,X3,,,,,
815,13:20,7,11,19,,,,,
816,13:20,12,12,24,,,,,
817,13:21,10,10,21,,,,,
818,13:21,10,12,22,,,,,
819,13:22,10,11,21,,,,,
820,13:22,11,10,21,,,,,
821,13:23,10,11,21,,,,,
822,13:23,11,14,25,,,,,
823,13:23,12,14,26,,,,,
824,13:24,9,13,22,,,,,
825,13:24,7,12,19,,,,,
826,13:25,13,12,25,,,,,
827,13:25,9,13,23,,,,,
828,13:25,11,10,21,,,,,
829,13:27,8,13,21,,,,,
830,13:27,8,12,20,,,,,
831,13:27,12,13,25,,,,,
832,13:28,10,12,22,,,,,
833,13:28,13,12,24,,,,,
834,13:28,10,12,23,,,,,
835,13:29,11,11,22,,,,,
836,13:29,8,11,19,,,,,
837,13:29,9,13,22,,,,,
838,13:30,13,13,26,,,,,
839,13:31,11,10,21,,,,,
840,13:31,13,11,24,,,,,
841,13:31,10,13,23,,,,,
842,13:32,12,10,22,,,,,
843,13:32,8,10,19,,,,,
844,13:33,13,12,25,,,,,
845,13:33,13,13,26,,,,,
846,13:34,10,13,23,,,,,
847,13:34,8,12,20,,,,,
848,13:34,9,11,20,,,,,
849,13:34,8,11,19,,,,,
850,13:35,9,13,22,,,,,
851,13:36,8,14,22,,,,,
852,13:36,12,11,22,,,,,
853,13:36,11,11,22,,,,,
854,13:37,9,13,22,,,,,
855,13:37,12,12,25,,,,,
856,13:38,11,12,24,,,,,
857,13:38,10,13,23,,,,,
858,13:39,11,11,22,,,,,
859,13:39,7,10,18,,,,,
860,13:39,10,14,24,,,,,
861,13:41,10,10,20,,,,,
862,13:44,8,11,18,,,,,
863,13:46,12,12,24,,,,,
864,13:47,10,10,21,,,,,
865,13:47,12,11,23,,,,,
866,13:48,9,11,20,,,,,
867,13:49,12,12,24,,,,,
868,13:51,8,11,19,,,,,
869,13:52,11,10,22,,,,,
870,13:53,13,13,26,,,,,
871,13:54,11,11,22,,,,,
872,13:54,9,12,21,,,,,
873,13:54,8,14,21,,,,,
874,13:55,13,10,23,,,,,
875,13:55,11,12,23,,,,,
876,13:57,8,11,19,,,,,
877,13:57,13,10,23,,,,,
878,13:58,8,13,20,,,,,
879,13:59,10,10,20,,,,,
880,13:59,8,10,18,,,,,
881,13:59,12,14,26,,,,,
882,14:00,10,13,23,,,,,
883,14:00,8,13,21,,,,,
884,14:00,10,10,20,,,,,
885,14:00,12,14,26,,,,,
886,14:01,12,12,24,,,,,
887,14:01,13,13,26,,,,,
888,14:01,7,12,20,,,,,
889,14:02,8,12,20,,,,,
890,14:02,7,10,17,,,,,
891,14:03,11,12,23,,,,,
892,14:03,9,11,20,,,,,
893,14:03,9,14,22,,,,,
894,14:03,12,13,25,,,,,
895,14:04,8,14,22,,,,,
896,14:04,13,11,24,,,,,
897,14:05,9,10,19,,,,,
898,14:05,7,13,20,,,,,
899,14:05,11,14,24,,,,,
900,14:06,12,13,26,,,,,
901,14:06,10,13,23,,,,,
902,14:06,10,11,21,,,,,
903,14:07,11,13,24,,,,,
904,14:07,8,12,20,,,,,
905,14:07,11,13,24,,,,,
906,14:07,8,11,19,,,,,
907,14:08,12,12,24,,,,,
908,14:08,11,13,23,,,,,
909,14:09,12,11,24,,,,,
910,14:09,11,11,22,,,,,
911,14:10,12,11,23,,,,,
912,14:10,9,11,19,,,,,
913,14:11,9,12,21,,,,,
914,14:11,13,12,24,,,,,
915,14:12,11,13,23,,,,,
916,14:13,9,12,21,,,,,
917,14:15,8,12,20,,,,,
918,14:15,11,13,24,,,,,
919,14:15,12,12,24,,,,,
920,14:16,7,11,18,,,,,
921,14:16,8,11,18,,,,,
922,14:16,7,11,18,,,,,
923,14:17,8,12,20,,,,,
924,14:17,8,14,22,,,,,
925,14:18,8,11,18,,,,,
926,14:18,12,13,25,,,,,
927,14:18,8,11,19,,,,,
928,14:18,7,11,18,,,,,
929,14:19,9,13,22,,,,,
930,14:19,12,13,25,,,,,
931,14:19,10,12,22,,,,,
932,14:19,13,13,26,,,,,
933,14:19,9,13,22,,,,,
934,14:19,11,11,23,,,,,
935,14:20,11,12,23,,,,,
936,14:20,12,12,24,,,,,
937,14:21,11,13,23,,,,,
938,14:21,9,13,21,,,,,
939,14:22,9,12,21,,,,,
940,14:22,12,10,22,,,,,
941,14:22,12,14,26,,,,,
942,14:23,12,13,25,,,,,
943,14:23,12,13,25,,,,,
944,14:23,11,13,25,,,,,
945,14:23,11,13,25,,,,,
946,14:24,9,13,22,,,,,
947,14:24,12,12,24,,,,,
948,14:25,12,10,22,,,,,
949,14:25,11,13,24,,,,,
950,14:26,10,13,24,,,,,
951,14:26,12,13,24,,,,,
952,14:27,8,11,19,,,,,
953,14:27,11,10,22,,,,,
954,14:27,9,11,20,,,,,
955,14:27,13,13,25,,,,,
956,14:28,13,14,26,,,,,
957,14:29,11,12,23,,,,,
958,14:32,7,12,19,,,,,
959,14:34,9,12,21,,,,,
960,14:34,11,11,22,,,,,
961,14:35,11,10,21,,,,,
962,14:35,13,10,23,,,,,
963,14:36,10,13,23,,,,,
964,14:37,11,11,22,,,,,
965,14:37,9,11,19,,,,,
966,14:39,13,13,26,,,,,
967,14:39,8,12,21,,,,,
968,14:39,12,11,23,,,,,
969,14:39,12,12,24,,,,,
970,14:39,12,12,24,,,,,
971,14:40,12,12,24,,,,,
972,14:42,12,12,24,,,,,
973,14:43,9,10,20,,,,,
974,14:43,9,10,20,,,,,
975,14:43,10,11,21,,,,,
976,14:45,7,13,20,,,,,
977,14:46,10,14,24,,,,,
978,14:46,8,12,19,,,,,
979,14:47,8,13,21,,,,,
980,14:47,9,12,21,,,,,
981,14:48,10,12,23,,,,,
982,14:48,9,13,22,,,,,
983,14:48,11,12,23,,,,,
984,14:49,8,11,19,,,,,
985,14:49,13,11,23,,,,,
986,14:51,10,12,22,,,,,
987,14:52,7,13,20,,,,,
988,14:52,8,13,20,,,,,
989,14:53,13,13,26,,,,,
990,14:53,9,10,19,,,,,
991,14:55,9,10,19,,,,,
992,14:56,7,12,20,,,,,
993,14:57,12,13,25,,,,,
994,14:57,12,11,23,,,,,
995,14:58,9,13,22,,,,,
996,14:59,10,12,22,,,,,
